playerid,yearid,stint,teamid,lgid,position,games,games_started,innouts,putouts,assists,errors,double_plays,passed_balls,wild_pitches,opp_sbs,opp_cs,zone_rating
millebi02,1933,1,PHA,AL,1B,6,,,23,1,1,2,,,,,
millebi02,1933,1,PHA,AL,OF,30,,,39,1,0,0,,,,,
milleja02,1933,1,CHA,AL,P,26,,,2,31,3,1,,,,,
mooneji01,1933,1,SLN,NL,P,21,,,2,22,1,0,,,,,
moorecy01,1933,1,PHI,NL,P,36,,,6,35,1,1,,,,,
moorege03,1933,1,SLN,NL,OF,10,,,29,0,1,0,,,,,
moorejo01,1933,1,CIN,NL,OF,132,,,329,12,9,4,,,,,
moorejo02,1933,1,NY1,NL,OF,132,,,266,19,10,6,,,,,
moorera01,1933,1,BSN,NL,1B,10,,,80,1,1,4,,,,,
moorera01,1933,1,BSN,NL,OF,122,,,275,11,6,1,,,,,
moorewi01,1933,1,NYA,AL,P,35,,,3,15,3,1,,,,,
morgaed01,1933,1,CLE,AL,1B,32,,,302,21,1,14,,,,,
morgaed01,1933,1,CLE,AL,OF,1,,,0,0,0,0,,,,,
morrijo05,1933,1,CIN,NL,2B,88,,,187,295,18,46,,,,,
morrijo05,1933,1,CIN,NL,3B,15,,,12,18,4,0,,,,,
morrijo05,1933,1,CIN,NL,SS,63,,,101,148,18,30,,,,,
mosolji01,1933,1,CHN,NL,OF,22,,,51,2,2,0,,,,,
mowryjo01,1933,1,BSN,NL,OF,64,,,155,2,1,2,,,,,
mullefr01,1933,1,BOS,AL,2B,14,,,24,36,5,6,,,,,
mungova01,1933,1,BRO,NL,P,41,,,15,55,3,1,,,,,
murrage01,1933,1,CHA,AL,P,2,,,0,1,0,0,,,,,
myattgl01,1933,1,CLE,AL,C,27,,,65,17,3,2,0,,,,
myerbu01,1933,1,WS1,AL,2B,129,,,356,417,17,92,,,,,
nekolbo01,1933,1,DET,AL,P,2,,,0,0,0,0,,,,,
nelsoly01,1933,1,CHN,NL,P,24,,,1,20,0,1,,,,,
odoulle01,1933,1,BRO,NL,OF,41,,,88,1,5,0,,,,,
odoulle01,1933,2,NY1,NL,OF,63,,,109,4,3,0,,,,,
ofarrbo01,1933,1,SLN,NL,C,50,,,211,19,7,1,3,,,,
oliveto01,1933,1,BOS,AL,OF,86,,,187,9,3,3,,,,,
olsonma01,1933,1,BOS,AL,2B,1,,,0,0,0,0,,,,,
orsater01,1933,1,SLN,NL,1B,3,,,25,0,1,2,,,,,
orsater01,1933,1,SLN,NL,OF,107,,,274,5,4,1,,,,,
ottme01,1933,1,NY1,NL,OF,152,,,283,12,5,3,,,,,
oullijo01,1933,1,CLE,AL,OF,18,,,25,0,0,0,,,,,
outench01,1933,1,BRO,NL,C,56,,,98,11,2,1,1,,,,
owenma01,1933,1,DET,AL,3B,136,,,143,226,22,19,,,,,
paddeto01,1933,1,PIT,NL,C,27,,,100,22,2,1,1,,,,
parmero01,1933,1,NY1,NL,P,32,,,8,44,4,4,,,,,
pasekjo01,1933,1,DET,AL,C,28,,,75,13,1,3,1,,,,
pearcfr02,1933,1,PHI,NL,P,20,,,7,16,2,3,,,,,
pearsmo01,1933,1,CLE,AL,P,19,,,1,26,2,2,,,,,
peelho01,1933,1,NY1,NL,OF,45,,,49,1,2,0,,,,,
pennohe01,1933,1,NYA,AL,P,23,,,2,12,1,1,,,,,
peppera01,1933,1,SLN,NL,OF,2,,,3,0,0,0,,,,,
peterji01,1933,1,PHA,AL,P,32,,,6,31,0,0,,,,,
phelpba01,1933,1,CHN,NL,C,2,,,6,2,0,1,1,,,,
picinva01,1933,1,BRO,NL,C,6,,,6,2,1,0,1,,,,
picinva01,1933,2,PIT,NL,C,16,,,48,6,1,0,1,,,,
pickrcl01,1933,1,PHI,NL,P,9,,,0,0,0,0,,,,,
pietto01,1933,1,PIT,NL,2B,97,,,241,305,26,61,,,,,
pipgrge01,1933,1,NYA,AL,P,4,,,2,10,0,1,,,,,
pipgrge01,1933,2,BOS,AL,P,22,,,6,15,2,2,,,,,
portedi01,1933,1,CLE,AL,OF,124,,,236,9,1,3,,,,,
powermi01,1933,1,CLE,AL,OF,11,,,20,0,1,0,,,,,
primra01,1933,1,WS1,AL,P,2,,,1,7,0,0,,,,,
pytlafr01,1933,1,CLE,AL,C,69,,,246,57,0,11,2,,,,
quinnja01,1933,1,CIN,NL,P,14,,,1,6,0,0,,,,,
raglafr01,1933,1,PHI,NL,P,11,,,4,11,0,0,,,,,
reibefr01,1933,1,DET,AL,C,6,,,13,0,1,0,0,,,,
rensato01,1933,1,NYA,AL,C,8,,,39,4,1,1,2,,,,
reynoca01,1933,1,SLA,AL,OF,124,,,269,8,10,3,,,,,
rhemfl01,1933,1,PHI,NL,P,28,,,2,30,2,1,,,,,
rhielbi01,1933,1,DET,AL,OF,1,,,4,0,0,0,,,,,
rhodego01,1933,1,BOS,AL,P,34,,,8,46,4,2,,,,,
rhyneha01,1933,1,CHA,AL,2B,19,,,46,61,5,13,,,,,
rhyneha01,1933,1,CHA,AL,3B,13,,,1,11,2,0,,,,,
rhyneha01,1933,1,CHA,AL,SS,2,,,1,0,0,0,,,,,
riceha01,1933,1,CIN,NL,3B,1,,,0,0,0,0,,,,,
riceha01,1933,1,CIN,NL,OF,141,,,315,14,3,3,,,,,
ricesa01,1933,1,WS1,AL,OF,39,,,41,4,0,2,,,,,
richapa01,1933,1,NY1,NL,C,36,,,74,17,1,2,0,,,,
