playerid,yearid,stint,teamid,lgid,wins,losses,games,gamesstarted,cg,sho,sv,ipouts,hits,er,hr,bb,so,baopp,era,ibb,wp,hbp,balks,bfp,gf,runs,sh,sf,gidp
chanded01,1947,1,BRO,NL,0,1,15,1,0,0,1,89,31,21,7,12,8,0.26,6.37,,2,0,0,131,4,23,,,
chandsp01,1947,1,NYA,AL,9,5,17,16,13,2,0,384,100,35,4,41,68,0.21,2.46,,2,0,1,519,0,41,,,
chipmbo01,1947,1,CHN,NL,7,6,32,17,5,1,0,404,135,55,6,66,51,0.26,3.68,,1,0,0,581,4,58,,,
chrisru01,1947,1,PHA,AL,10,7,44,0,0,0,12,242,70,26,4,33,33,0.23,2.9,,1,0,0,333,38,30,,,
colemjo04,1947,1,PHA,AL,6,12,32,21,9,2,1,481,171,77,17,62,65,0.27,4.32,,0,0,0,689,9,84,,,
coopemo01,1947,1,BSN,NL,2,5,10,7,2,0,0,140,48,21,2,13,15,0.27,4.05,,0,2,0,198,1,26,,,
coopemo01,1947,2,NY1,NL,1,5,8,8,2,0,0,110,51,29,7,13,12,0.32,7.12,,0,0,0,171,0,32,,,
dealco01,1947,1,BOS,AL,0,1,5,2,0,0,0,38,20,13,0,7,6,0.36,9.24,,2,0,0,63,2,13,,,
deandi01,1947,1,SLA,AL,0,0,1,1,0,0,0,12,3,0,0,1,0,0.23,0,,0,0,0,14,0,0,,,
dicksmu01,1947,1,SLN,NL,13,16,47,25,11,4,3,695,211,79,16,88,111,0.24,3.07,,1,2,0,970,13,101,,,
dietrbi01,1947,1,PHA,AL,5,2,11,9,2,1,0,182,48,21,0,40,18,0.22,3.12,,0,2,0,259,1,24,,,
dobsojo01,1947,1,BOS,AL,18,8,33,31,15,1,1,686,203,75,15,73,110,0.23,2.95,,11,1,1,935,1,84,,,
dockige01,1947,1,BRO,NL,0,0,4,0,0,0,0,16,10,7,2,2,1,0.4,11.81,,0,0,0,28,2,7,,,
donnebl01,1947,1,PHI,NL,4,6,38,10,5,1,5,362,113,40,6,46,31,0.26,2.98,,1,3,0,487,16,44,,,
dorisha01,1947,1,BOS,AL,7,8,41,9,2,0,2,408,149,71,6,54,50,0.28,4.7,,2,1,1,589,12,80,,,
dorseca01,1947,1,CLE,AL,0,0,2,0,0,0,0,4,3,4,1,3,1,0.5,27,,0,0,0,9,1,4,,,
doziebu01,1947,1,WS1,AL,0,0,2,0,0,0,0,14,2,0,0,1,2,0.13,0,,0,0,0,16,2,0,,,
drewska01,1947,1,NYA,AL,6,6,30,10,0,0,1,275,92,50,6,55,45,0.26,4.91,,1,5,0,416,9,57,,,
elliogl01,1947,1,BSN,NL,0,1,11,0,0,0,1,57,18,10,4,11,8,0.26,4.74,,0,0,0,80,4,10,,,
embrere01,1947,1,CLE,AL,8,10,27,21,6,0,0,488,137,57,13,67,56,0.23,3.15,,3,1,0,670,2,65,,,
erauted01,1947,1,CIN,NL,4,9,36,10,2,0,0,357,146,67,5,53,43,0.3,5.07,,7,2,0,536,11,78,,,
erickpa01,1947,1,CHN,NL,7,12,40,20,6,0,1,522,179,84,17,93,82,0.26,4.34,,3,5,0,779,11,90,,,
fannicl01,1947,1,SLA,AL,6,8,26,18,6,2,1,437,134,58,10,77,77,0.24,3.58,,2,1,0,637,6,70,,,
fellebo01,1947,1,CLE,AL,20,11,42,37,20,5,3,897,230,89,17,127,196,0.21,2.68,,7,4,2,1218,4,97,,,
ferrida01,1947,1,BOS,AL,12,11,33,28,14,1,0,655,241,98,14,92,64,0.28,4.04,,6,7,1,956,0,106,,,
ferrito01,1947,1,WS1,AL,1,7,31,0,0,0,9,180,57,21,1,20,23,0.25,3.15,,0,0,0,252,24,24,,,
fineto01,1947,1,BOS,AL,1,2,9,7,1,0,0,108,41,22,0,19,10,0.28,5.5,,1,1,0,168,1,24,,,
floreje01,1947,1,PHA,AL,4,13,28,20,4,0,0,454,139,57,10,59,41,0.24,3.39,,0,0,0,633,5,72,,,
fowledi01,1947,1,PHA,AL,12,11,36,31,16,3,0,682,210,71,12,85,75,0.24,2.81,,0,3,0,943,2,77,,,
gableke01,1947,1,PIT,NL,0,0,1,0,0,0,0,1,3,2,1,0,0,0.75,54,,0,0,0,4,0,2,,,
galehde01,1947,1,SLA,AL,1,3,9,4,0,0,1,97,42,22,3,16,11,0.31,6.12,,0,0,0,155,3,26,,,
galehde01,1947,2,BOS,AL,11,7,21,21,11,3,0,447,150,55,7,34,38,0.26,3.32,,0,0,0,619,0,60,,,
gebripe01,1947,1,CHA,AL,2,3,27,4,0,0,5,199,61,33,7,33,17,0.24,4.48,,6,2,0,288,10,40,,,
gentrru01,1947,1,DET,AL,0,0,1,0,0,0,0,1,1,3,0,2,0,0.5,81,,0,0,0,4,0,3,,,
