playerid,yearid,stint,teamid,lgid,games,ab,runs,hits,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
braxtga01,1927,1,WS1,AL,58,39,1,9,1,0,0,2,0,0,3,6,,0,3,,
bressru01,1927,1,CIN,NL,124,467,43,136,14,8,3,77,4,,32,22,,1,24,,
brickfr01,1927,1,PIT,NL,32,21,6,6,1,0,1,4,0,,1,0,,0,1,,
brillji01,1927,1,CHN,NL,32,44,1,1,0,0,0,1,0,,2,19,,0,6,,
browned02,1927,1,BSN,NL,155,558,64,171,35,6,2,75,11,,28,20,,0,19,,
brownjo03,1927,1,CHA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brownju01,1927,1,CLE,AL,8,3,1,2,0,0,0,1,0,0,2,1,,0,0,,
buckega01,1927,1,CLE,AL,35,71,6,19,4,1,0,7,0,1,3,6,,0,2,,
burkebo01,1927,1,WS1,AL,36,24,3,3,0,0,0,2,0,0,0,1,,0,3,,
burnejo01,1927,1,CLE,AL,17,8,5,0,0,0,0,0,1,0,0,3,,0,0,,
burnsge02,1927,1,CLE,AL,140,549,84,175,51,2,3,78,13,11,42,27,,7,9,,
burrudi01,1927,1,BSN,NL,72,220,22,70,8,3,0,32,3,,17,10,,1,10,,
bushefr01,1927,1,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bushgu01,1927,1,CHN,NL,36,65,2,8,1,0,0,1,0,,1,10,,0,5,,
bushjo01,1927,1,PIT,NL,7,5,0,3,0,0,0,2,0,,1,1,,0,0,,
bushjo01,1927,2,NY1,NL,3,4,0,2,0,0,0,0,0,,0,0,,0,0,,
butlejo02,1927,1,BRO,NL,149,521,39,124,13,6,2,57,9,,34,33,,6,16,,
cantrgu01,1927,1,BRO,NL,6,3,1,1,0,0,0,1,0,,0,2,,0,0,,
cantrgu01,1927,2,PHA,AL,2,6,0,1,0,0,0,0,0,0,0,0,,0,0,,
cantwbe01,1927,1,NY1,NL,5,8,1,2,1,0,0,2,0,,0,1,,0,0,,
careyma01,1927,1,BRO,NL,144,538,70,143,30,10,1,54,32,,64,18,,1,20,,
carlsha01,1927,1,PHI,NL,12,25,4,6,0,0,0,4,0,,1,2,,0,1,,
carlsha01,1927,2,CHN,NL,27,67,1,11,0,0,0,9,0,,0,7,,0,3,,
carlycl01,1927,1,BOS,AL,95,278,31,65,12,8,1,28,4,4,36,40,,1,9,,
carroow01,1927,1,DET,AL,37,69,11,12,2,1,0,5,0,0,2,5,,0,1,,
cheevvi01,1927,1,NY1,NL,3,0,0,0,0,0,0,0,0,,0,0,,0,1,,
chriscu01,1927,1,CIN,NL,57,185,25,47,6,0,0,16,4,,20,16,,1,4,,
churrjo01,1927,1,CHN,NL,1,1,0,1,0,0,0,0,0,,0,0,,0,0,,
clancbu01,1927,1,CHA,AL,130,464,46,139,21,2,3,53,4,3,24,24,,2,24,,
clarkbi01,1927,1,NY1,NL,28,20,1,1,0,0,0,0,0,,4,7,,0,0,,
clarkda04,1927,1,SLN,NL,58,72,8,17,2,2,0,13,0,,8,7,,0,0,,
clarkea01,1927,1,BSN,NL,13,44,6,12,1,0,0,3,0,,2,4,,0,3,,
clarkwa02,1927,1,BRO,NL,27,21,0,3,0,0,0,0,0,,1,6,,0,1,,
cobbty01,1927,1,PHA,AL,134,490,104,175,32,7,5,93,22,16,67,12,,5,12,,
cochrmi01,1927,1,PHA,AL,126,432,80,146,20,6,12,80,9,6,50,7,,2,23,,
coffmdi01,1927,1,WS1,AL,5,3,1,1,0,0,0,0,0,0,1,2,,0,1,,
colebe01,1927,1,CHA,AL,27,18,1,3,0,0,0,0,0,0,0,1,,0,2,,
collaha01,1927,1,CLE,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collied01,1927,1,PHA,AL,95,226,50,76,12,1,1,15,6,2,56,9,,0,8,,
collipa01,1927,1,NYA,AL,92,251,38,69,9,3,7,36,0,1,54,24,,2,4,,
colliri01,1927,1,DET,AL,30,54,5,11,1,1,0,6,0,1,6,12,,0,7,,
combsea01,1927,1,NYA,AL,152,648,137,231,36,23,6,64,15,6,62,31,,2,12,,
comorad01,1927,1,PIT,NL,18,61,5,14,1,0,0,4,0,,3,1,,0,4,,
connasa01,1927,1,CHA,AL,43,67,5,22,1,0,0,6,0,0,2,10,,0,7,,
cooneji02,1927,1,CHN,NL,33,132,16,32,2,0,0,6,1,,8,7,,0,9,,
cooneji02,1927,2,PHI,NL,76,259,33,70,12,1,0,15,4,,13,9,,0,10,,
coonejo01,1927,1,BSN,NL,10,1,4,0,0,0,0,0,0,,0,0,,0,0,,
corgach01,1927,1,BRO,NL,19,57,3,15,1,0,0,1,0,,4,4,,0,1,,
covelst01,1927,1,WS1,AL,5,6,1,2,0,0,0,1,0,0,0,2,,0,0,,
cremibo01,1927,1,BOS,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
critzhu01,1927,1,CIN,NL,113,396,50,110,10,8,4,49,7,,16,18,,0,17,,
cronijo01,1927,1,PIT,NL,12,22,2,5,1,0,0,3,0,,2,3,,0,0,,
crousbu01,1927,1,CHA,AL,85,222,22,53,11,0,0,20,4,1,21,10,,1,11,,
crowdal01,1927,1,WS1,AL,15,22,1,3,1,0,0,3,0,0,0,4,,0,1,,
crowdal01,1927,2,SLA,AL,21,23,3,6,1,0,0,1,0,0,1,1,,0,1,,
culloni02,1927,1,WS1,AL,15,23,2,5,2,0,0,1,0,0,1,6,,0,0,,
